Trial_No,Stim_Cond,Trial_Cond,Stim1,Size_x,Size_y
,INSTR,begin_exp,,,
S0,PRAC,practice,prac.mp4,1920,1080
PRAC_V1,VERBAL,PRAC_verbal,,,
,INSTR,begin2,,,
S1,POS,movie,OSS_1.mp4,1920,818
OSS_V1,VERBAL,OSS1_verbal,,,
S2,POS,movie,OSS_2.mp4,1920,818
OSS_V2,VERBAL,OSS2_verbal,,,
S3,NEG,movie,OSS_3.mp4,1920,818
OSS_V3,VERBAL,OSS3_verbal,,,
S4,NEG,movie,OSS_4.mp4,1920,818
OSS_V4,VERBAL,OSS4_verbal,,,
S5,NEG,movie,OSS_5.mp4,1920,818
OSS_V5,VERBAL,OSS5_verbal,,,
S6,NEG,movie,OSS_6.mp4,1920,818
OSS_V6,VERBAL,OSS6_verbal,,,
S7,POS,movie,OSS_7.mp4,1920,818
OSS_V7,VERBAL,OSS7_verbal,,,
S8,POS,movie,OSS_8.mp4,1920,818
OSS_V8,VERBAL,OSS8_verbal,,,
,INSTR,begin3,,,
S1,NEG,movie,SR_1.mp4,1920,1080
SR_V1,VERBAL,SR1_verbal,,,
S2,NEG,movie,SR_2.mp4,1920,1080
SR_V2,VERBAL,SR2_verbal,,,
S3,POS,movie,SR_3.mp4,1920,1080
SR_V3,VERBAL,SR3_verbal,,,
S4,POS,movie,SR_4.mp4,1920,1080
SR_V4,VERBAL,SR4_verbal,,,
S5,POS,movie,SR_5.mp4,1920,1080
SR_V5,VERBAL,SR5_verbal,,,
S6,NEG,movie,SR_6.mp4,1920,1080
SR_V6,VERBAL,SR6_verbal,,,